Ony;Tratamiento;Repeticion;Subject;Despl_total;Cerca_total;Num_cambios;Orden;Tamano;EnJaula;jaula_cerca
Ony01;A;1;Ony01_A1;0.26753507;0.446893788;15;4;30.1;0;0.45
Ony01;A;2;Ony01_A2;0.231621349;0.81570997;8;5;30.1;0.18;1
Ony01;A;3;Ony01_A3;0.22324159;0.612640163;18;3;30.1;0.18;0.79
Ony01;C;1;Ony01_C1;0.555;0.017;35;5;30.1;0;0.02
Ony01;C;2;Ony01_C2;0;1;4;4;30.1;0;1
Ony01;C;3;Ony01_C3;0.504;0.89;15;5;30.1;0;0.89
Ony01;N;1;Ony01_N1;0.035714286;0.382142857;12;3;30.1;0;0.38
Ony01;N;2;Ony01_N2;0.266266266;0.312312312;8;3;30.1;0.69;1
Ony01;N;3;Ony01_N3;0.114;0.162;12;4;30.1;0;0.16
Ony01;Neo;1;Ony01_Neo1;0.700700701;0.094094094;13;2;30.1;0;0.09
Ony01;Neo;2;Ony01_Neo2;0.279396985;0;11;2;30.1;0;0
Ony01;Neo;3;Ony01_Neo3;0;1;4;2;30.1;0;1
Ony02;A;1;Ony02_A1;0.445685279;0.125888325;15;3;47.27;0.14;0.26
Ony02;A;2;Ony02_A2;0.259779338;0.050150451;3;3;47.27;0.74;0.79
Ony02;A;3;Ony02_A3;0.012072435;1;10;5;47.27;0;1
Ony02;C;1;Ony02_C1;0;1;2;5;47.27;0;1
Ony02;C;2;Ony02_C2;0.04321608;0.08040201;3;4;47.27;0.92;1
Ony02;C;3;Ony02_C3;0.256;0.077;19;4;47.27;0.57;0.65
Ony02;N;1;Ony02_N1;0.233333333;0.207070707;7;4;47.27;0;0.21
Ony02;N;2;Ony02_N2;0.059118236;0.091182365;6;5;47.27;0.91;1
Ony02;N;3;Ony02_N3;0.036437247;0.123481781;7;3;47.27;0.84;0.96
Ony02;Neo;1;Ony02_Neo1;0;0;1;2;47.27;0;0
Ony02;Neo;2;Ony02_Neo2;0.171514544;0.075225677;4;2;47.27;0.62;0.69
Ony02;Neo;3;Ony02_Neo3;0.203610832;0.067201605;12;2;47.27;0.65;0.72
Ony03;A;1;Ony03_A1;0.156;0.964;11;4;49.23;0;0.96
Ony03;A;2;Ony03_A2;0.049147442;0;5;3;49.23;0;0
Ony03;A;3;Ony03_A3;0;1;4;4;49.23;0;1
Ony03;C;1;Ony03_C1;0.073514602;0.937562941;9;5;49.23;0.06;1
Ony03;C;2;Ony03_C2;0;0;4;4;49.23;0;0
Ony03;C;3;Ony03_C3;0;1;1;5;49.23;0;1
Ony03;N;1;Ony03_N1;0.10851927;1;11;3;49.23;0;1
Ony03;N;2;Ony03_N2;0.308;0.222;17;5;49.23;0;0.22
Ony03;N;3;Ony03_N3;0;1;2;3;49.23;0;1
Ony03;Neo;1;Ony03_Neo1;0;0;7;2;49.23;0;0
Ony03;Neo;3;Ony03_Neo3;0;1;1;2;49.23;0;1
Ony04;A;1;Ony04_A1;0.074823054;0.033367037;4;3;38.21;0;0.03
Ony04;A;2;Ony04_A2;0.034274194;1;13;5;38.21;0;1
Ony04;A;3;Ony04_A3;0;1;1;4;38.21;0;1
Ony04;C;1;Ony04_C1;0;1;4;4;38.21;0;1
Ony04;C;2;Ony04_C2;0.074898785;0.057692308;9;3;38.21;0;0.06
Ony04;C;3;Ony04_C3;0.332;0.138;27;5;38.21;0;0.14
Ony04;N;1;Ony04_N1;0;1;6;5;38.21;0;1
Ony04;N;2;Ony04_N2;0.274;0.432;7;4;38.21;0.57;1
Ony04;N;3;Ony04_N3;0.029652352;1;3;3;38.21;0;1
